AI Title,Human Title,Title Match Score,Journal,Country,Publication Year,Study Design,DOACs Included,Indications for Anticoagulation,Relevant Subgroups,Indications for DOAC Level Measurement,Pre-Analytical Variables,Conventional Coag Tests Concurrent,Global Coag Tests,Timing of DOAC Level Measurement,Clinical Outcomes Measured?,Clinical Outcomes,Clinical Outcome Definition,Comparator Assays,Reported Cutoffs,Diagnostic Performance Parameters,Mean Score
Dabigatran versus Warfarin in Patients with Mechanical Heart Valves,Dabigatran versus warfarin in patients with mechanical heart valves.,100.0,1.0,0.16,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.6848148148148148
Assessment of DOAC in GEriatrics (ADAGE Study): Rivaroxaban/Apixaban Concentrations and Thrombin Generation Profiles in NVAF Very Elderly Patients,Assessment of DOAC in GEriatrics (Adage Study): Rivaroxaban/Apixaban Concentrations and Thrombin Generation Profiles in NVAF Very Elderly Patients,100.0,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.5,0.4,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6849206349206349
Potential treatment option of rivaroxaban for breastfeeding women: A case series,Potential treatment option of rivaroxaban for breastfeeding women: A case series.,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.6851851851851852
Identification and Management of Noncompliance in Atrial Fibrillation Patients Receiving Dabigatran: The Role of a Drug Monitor,Identification and management of noncompliance in atrial fibrillation patients receiving dabigatran: the role of a drug monitor.,100.0,0.1463414634146342,1.0,1.0,0.5882352941176471,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6935875976406822
Dose reduction of edoxaban preserves efficacy and safety for the treatment of venous thromboembolism,"Dose reduction of edoxaban preserves efficacy and safety for the treatment of venous thromboembolism. An analysis of the randomised, double-blind HOKUSAI VTE trial.",100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,0.6944444444444444
Acute ischemic stroke and measurement of apixaban and rivaroxaban: an observational cohort implementation study,Acute ischemic stroke and measurement of apixaban and rivaroxaban: an observational cohort implementation study.,100.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.6944444444444444
"Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Rivaroxaban in Chronic Hemodialysis","Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Rivaroxaban in Chronic Hemodialysis.",100.0,0.5714285714285715,0.25,1.0,1.0,1.0,0.0,1.0,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6984126984126984
EFFECTS OF DIRECT ORAL ANTICOAGULANTS ON THROMBOELASTOGRAPHIC PARAMETERS AND FIBRIN CLOT PROPERTIES IN PATIENTS WITH VENOUS THROMBOEMBOLISM,Effects of direct oral anticoagulants on thromboelastographic parameters and fibrin clot properties in patients with venous thromboembolism.,100.0,1.0,1.0,1.0,0.6181818181818182,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.701010101010101
Model-based Dose Selection for Phase III Rivaroxaban Study in Japanese Patients with Non-valvular Atrial Fibrillation,Model-based dose selection for phase III rivaroxaban study in Japanese patients with non-valvular atrial fibrillation.,100.0,0.7741935483870968,1.0,1.0,0.48148148148148145,1.0,1.0,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,0.704018983140847
Population pharmacokinetic analysis for dabigatran etexilate in Chinese patients with non-valvular atrial fibrillation,Population pharmacokinetic analysis for dabigatran etexilate in Chinese patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.712962962962963
Dabigatran With or Without Concomitant Aspirin Compared With Warfarin Alone in Patients With Nonvalvular Atrial Fibrillation (PETRO Study),Dabigatran with or without concomitant aspirin compared with warfarin alone in patients with nonvalvular atrial fibrillation (PETRO Study).,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.7175925925925926
Low drug levels and thrombotic complications in high-risk atrial fibrillation patients treated with direct oral anticoagulants,Low drug levels and thrombotic complications in high-risk atrial fibrillation patients treated with direct oral anticoagulants.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.25,0.0,1.0,0.0,1.0,0.7175925925925926
Pre-Operative Direct Oral Anticoagulant Level Measurement Reduces Time to Surgery in Hip Fracture Patients,Pre-Operative Direct Oral Anticoagulant Level Measurement Reduces Time to Surgery in Hip Fracture Patients.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.7222222222222222
Factors affecting serum concentration of dabigatran in Asian patients with non-valvular atrial fibrillation,Factors affecting serum concentration of dabigatran in Asian patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,0.4727272727272727,1.0,1.0,1.0,0.2,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.7225589225589225
Associations between model-predicted rivaroxaban exposure and patient characteristics and efficacy and safety outcomes in the treatment of venous thromboembolism,Associations between model-predicted rivaroxaban exposure and patient characteristics and efficacy and safety outcomes in the treatment of venous thromboembolism.,100.0,1.0,1.0,1.0,0.3421052631578948,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.4,0.0,1.0,1.0,1.0,0.7264132553606237
COMPARISON OF QUANTITATIVE ANALYTICAL TECHNIQUES FOR DABIGATRAN IN BLOOD PLASMA OF HUMANS WITH KNEE REPLACEMENTS,Comparison of Quantitative Analytical Techniques for Dabigatran in Blood Plasma of Humans with Knee Replacements,100.0,1.0,0.0,1.0,0.5882352941176471,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7271241830065359
"Anti-Xa Levels in Morbidly Obese Patients Using Apixaban or Rivaroxaban, Before and After Bariatric Surgery","Anti-Xa Levels in Morbidly Obese Patients Using Apixaban or Rivaroxaban, Before and After Bariatric Surgery.",100.0,1.0,1.0,1.0,0.5161290322580645,1.0,1.0,0.25,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7277479091995221
Laboratory measurement of apixaban using anti-factor Xa assays in acute ischemic stroke patients with non-valvular atrial fibrillation,Laboratory measurement of apixaban using anti-factor Xa assays in acute ischemic stroke patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.7546296296296297
Apixaban and rivaroxaban's physiologically-based pharmacokinetic model validation in hospitalized patients: A first step for larger use of a priori modeling approach at bed side,Apixaban and rivaroxaban's physiologically-based pharmacokinetic model validation in hospitalized patients: A first step for larger use of a priori modeling approach at bed side.,100.0,1.0,1.0,1.0,0.36,1.0,0.0,0.6666666666666666,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7561111111111111
Real-World Rivaroxaban and Apixaban Levels in Asian Patients With Atrial Fibrillation,Real-World Rivaroxaban and Apixaban Levels in Asian Patients With Atrial Fibrillation.,100.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.7576719576719576
The Effect of Direct Oral Anticoagulants on Antithrombin Activity Testing Is Abolished by DOAC-Stop in Venous Thromboembolism Patients,The Effect of Direct Oral Anticoagulants on Antithrombin Activity Testing Is Abolished by DOAC-Stop in Venous Thromboembolism Patients.,100.0,0.59375,1.0,1.0,0.8059701492537313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.7722066749585407
Pharmacokinetics and pharmacodynamics of single doses of rivaroxaban in obese patients prior to and after bariatric surgery,Pharmacokinetics and pharmacodynamics of single doses of rivaroxaban in obese patients prior to and after bariatric surgery.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7731481481481481
Case report: biliary pancreatitis with acute cholangitis in a patient under anticoagulant treatment with dabigatran,Case Report: Biliary Pancreatitis With Acute Cholangitis in a Patient Under Anticoagulant Treatment With Dabigatran.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7777777777777778
Management strategies of the interaction between direct oral anticoagulant and drug-metabolizing enzyme inducers,Management strategies of the interaction between direct oral anticoagulant and drug-metabolizing enzyme inducers.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7777777777777778
Measurement of dabigatran: previously demonstrated Hemoclot® Thrombin Inhibitor assay reagent instability on Sysmex CS-2100i is no longer an issue,Measurement of dabigatran: previously demonstrated Hemoclot<ovid:sup> R</ovid:sup> Thrombin Inhibitor assay reagent instability on Sysmex CS-2100i is no longer an issue.,100.0,1.0,1.0,0.8333333333333333,0.4444444444444444,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.779320987654321
Point-of-Care Coagulation Testing for Assessment of the Pharmacodynamic Anticoagulant Effect of Direct Oral Anticoagulant,Point-of-care coagulation testing for assessment of the pharmacodynamic anticoagulant effect of direct oral anticoagulant.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.7824074074074074
Dabigatran is Less Effective Than Warfarin at Attenuating Mechanical Heart Valve-Induced Thrombin Generation,Dabigatran is Less Effective Than Warfarin at Attenuating Mechanical Heart Valve-Induced Thrombin Generation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7916666666666666
Haematological management of major bleeding associated with direct oral anticoagulants – UK experience,Haematological management of major bleeding associated with direct oral anticoagulants - UK experience.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7962962962962963
Heparin-Calibrated Chromogenic Anti-Xa Activity Measurements in Patients Receiving Rivaroxaban: Can This Test Be Used to Quantify Drug Level?,Heparin-Calibrated Chromogenic Anti-Xa Activity Measurements in Patients Receiving Rivaroxaban: Can This Test Be Used to Quantify Drug Level?.,100.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.8101851851851852
Stability of Direct Oral Anticoagulants Concentrations in Blood Samples for Accessibility Expansion of Chromogenic Assays,Stability of Direct Oral Anticoagulants Concentrations in Blood Samples for Accessibility Expansion of Chromogenic Assays.,100.0,1.0,1.0,1.0,0.8059701492537313,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8132946379215036
Influence of apixaban on antifactor Xa levels in a patient with acute kidney injury,Influence of apixaban on antifactor Xa levels in a patient with acute kidney injury,100.0,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8159722222222222
Can an anti-Xa assay for low-molecular-weight heparin be used to assess the presence of rivaroxaban?,Can an anti-Xa assay for low-molecular-weight heparin be used to assess the presence of rivaroxaban?.,100.0,1.0,1.0,1.0,0.4375,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8159722222222222
"Edoxaban plasma levels in patients with non-valvular atrial fibrillation: Inter and intra-individual variability, correlation with coagulation screening test and renal function","Edoxaban plasma levels in patients with non-valvular atrial fibrillation: Inter and intra-individual variability, correlation with coagulation screening test and renal function.",100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.8240740740740741
Effect of pregnane X receptor and cytochrome P450 oxidoreductase gene polymorphisms on trough concentrations of rivaroxaban and edoxaban in patients with nonvalvular atrial fibrillation,Effect of pregnane X receptor and cytochrome P450 oxidoreductase gene polymorphisms on trough concentrations of rivaroxaban and edoxaban in patients with nonvalvular atrial fibrillation.,100.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
"Simultaneous Determination of Dabigatran, Rivaroxaban, and Apixaban in Human Plasma by Liquid Chromatography/Tandem Mass Spectrometry","Simultaneous Determination of Dabigatran, Rivaroxaban, and Apixaban in Human Plasma by Liquid Chromatography/Tandem Mass Spectrometry.",100.0,1.0,1.0,1.0,0.26229508196721313,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8386460230722526
Dabigatran plasma concentration indicated the risk of patients with non-valvular atrial fibrillation,Dabigatran plasma concentration indicated the risk of patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,0.5882352941176471,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.8521241830065359
Pharmacokinetic drug–drug interaction between olaparib and apixaban: a case report,Pharmacokinetic drug-drug interaction between olaparib and apixaban: a case report,100.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
