AI Title,Human Title,Title Match Score,Journal,Country,Publication Year,Study Design,DOACs Included,Indications for Anticoagulation,Relevant Subgroups,Indications for DOAC Level Measurement,Pre-Analytical Variables,Conventional Coag Tests Concurrent,Global Coag Tests,Timing of DOAC Level Measurement,Clinical Outcomes Measured?,Clinical Outcomes,Clinical Outcome Follow-Up,Clinical Outcome Definition,Comparator Assays,Reported Cutoffs,Diagnostic Performance Parameters,Mean Score
Measurement of dabigatran: previously demonstrated Hemoclot® Thrombin Inhibitor assay reagent instability on Sysmex CS-2100i is no longer an issue,Measurement of dabigatran: previously demonstrated Hemoclot<ovid:sup> R</ovid:sup> Thrombin Inhibitor assay reagent instability on Sysmex CS-2100i is no longer an issue.,100.0,1.0,1.0,0.8333333333333333,0.10526315789473685,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7467682363804248
"Edoxaban plasma levels in patients with non-valvular atrial fibrillation: Inter and intra-individual variability, correlation with coagulation screening test and renal function","Edoxaban plasma levels in patients with non-valvular atrial fibrillation: Inter and intra-individual variability, correlation with coagulation screening test and renal function.",100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
Heparin-Calibrated Chromogenic Anti-Xa Activity Measurements in Patients Receiving Rivaroxaban: Can This Test Be Used to Quantify Drug Level?,Heparin-Calibrated Chromogenic Anti-Xa Activity Measurements in Patients Receiving Rivaroxaban: Can This Test Be Used to Quantify Drug Level?.,100.0,1.0,0.25,1.0,0.4375,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.7510964912280702
Haematological management of major bleeding associated with direct oral anticoagulants – UK experience,Haematological management of major bleeding associated with direct oral anticoagulants - UK experience.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.7543859649122807
COMPARISON OF QUANTITATIVE ANALYTICAL TECHNIQUES FOR DABIGATRAN IN BLOOD PLASMA OF HUMANS WITH KNEE REPLACEMENTS,Comparison of Quantitative Analytical Techniques for Dabigatran in Blood Plasma of Humans with Knee Replacements,100.0,1.0,0.0,1.0,0.5882352941176471,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.759029927760578
Biliary pancreatitis with acute cholangitis in a patient under anticoagulant treatment with dabigatran,Case Report: Biliary Pancreatitis With Acute Cholangitis in a Patient Under Anticoagulant Treatment With Dabigatran.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7631578947368421
"Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Rivaroxaban in Chronic Hemodialysis","Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Rivaroxaban in Chronic Hemodialysis.",100.0,0.5714285714285715,0.25,1.0,1.0,1.0,0.0,1.0,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7669172932330827
Pharmacokinetics and pharmacodynamics of single doses of rivaroxaban in obese patients prior to and after bariatric surgery,Pharmacokinetics and pharmacodynamics of single doses of rivaroxaban in obese patients prior to and after bariatric surgery.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7763157894736842
Associations between model-predicted rivaroxaban exposure and patient characteristics and efficacy and safety outcomes in the treatment of venous thromboembolism,Associations between model-predicted rivaroxaban exposure and patient characteristics and efficacy and safety outcomes in the treatment of venous thromboembolism.,100.0,1.0,1.0,1.0,0.3421052631578948,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7811634349030472
Factors Associated With Edoxaban Concentration Among Patients With Atrial Fibrillation,Factors Associated With Edoxaban Concentration Among Patients With Atrial Fibrillation.,100.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7866826156299841
Real-World Rivaroxaban and Apixaban Levels in Asian Patients With Atrial Fibrillation,Real-World Rivaroxaban and Apixaban Levels in Asian Patients With Atrial Fibrillation.,100.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7923558897243108
"Anti-Xa Levels in Morbidly Obese Patients Using Apixaban or Rivaroxaban, Before and After Bariatric Surgery","Anti-Xa Levels in Morbidly Obese Patients Using Apixaban or Rivaroxaban, Before and After Bariatric Surgery.",100.0,1.0,1.0,1.0,0.5161290322580645,1.0,1.0,0.25,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.794708545557442
Dabigatran plasma concentration indicated the risk of patients with non-valvular atrial fibrillation,Dabigatran plasma concentration indicated the risk of patients with non-valvular atrial fibrillation.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.8070175438596492
Stability of Direct Oral Anticoagulants Concentrations in Blood Samples for Accessibility Expansion of Chromogenic Assays,Stability of Direct Oral Anticoagulants Concentrations in Blood Samples for Accessibility Expansion of Chromogenic Assays.,100.0,1.0,1.0,1.0,0.8059701492537313,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.823121235925635
Apixaban and rivaroxaban's physiologically-based pharmacokinetic model validation in hospitalized patients: A first step for larger use of a priori modeling approach at bed side,Apixaban and rivaroxaban's physiologically-based pharmacokinetic model validation in hospitalized patients: A first step for larger use of a priori modeling approach at bed side.,100.0,1.0,1.0,1.0,0.36,1.0,1.0,0.6666666666666666,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8303508771929825
Effect of pregnane X receptor and cytochrome P450 oxidoreductase gene polymorphisms on trough concentrations of rivaroxaban and edoxaban in patients with nonvalvular atrial fibrillation,Effect of pregnane X receptor and cytochrome P450 oxidoreductase gene polymorphisms on trough concentrations of rivaroxaban and edoxaban in patients with nonvalvular atrial fibrillation.,100.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8421052631578947
Point-of-Care Coagulation Testing for Assessment of the Pharmacodynamic Anticoagulant Effect of Direct Oral Anticoagulant,Point-of-care coagulation testing for assessment of the pharmacodynamic anticoagulant effect of direct oral anticoagulant.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8464912280701754
Can an anti-Xa assay for low-molecular-weight heparin be used to assess the presence of rivaroxaban?,Can an anti-Xa assay for low-molecular-weight heparin be used to assess the presence of rivaroxaban?.,100.0,1.0,1.0,1.0,0.4375,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8519736842105263
"Simultaneous Determination of Dabigatran, Rivaroxaban, and Apixaban in Human Plasma by Liquid Chromatography/Tandem Mass Spectrometry","Simultaneous Determination of Dabigatran, Rivaroxaban, and Apixaban in Human Plasma by Liquid Chromatography/Tandem Mass Spectrometry.",100.0,1.0,1.0,1.0,0.26229508196721313,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8559102674719586
Pharmacokinetic drug–drug interaction between olaparib and apixaban: a case report,Pharmacokinetic drug-drug interaction between olaparib and apixaban: a case report,100.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947368421052632
Management strategies of the interaction between direct oral anticoagulant and drug-metabolizing enzyme inducers,Management strategies of the interaction between direct oral anticoagulant and drug-metabolizing enzyme inducers.,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9473684210526315
